texto,categoria,urgencia
"No hay prisa alguna, solo queria dejarlo comentado: En que idiomas esta disponible la interfaz de el servicio web.",información general,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. La pantalla se queda cargando indefinidamente al abrir el sistema.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,alta
"Sin ninguna prisa, Como puedo invitar a un compañero de trabajo a mi cuenta de mi cuenta.",información general,baja
Agradeceria una respuesta en los proximos dias. Quiero solicitar el reembolso del pago duplicado del pedido 3471.,facturación,media
"Cuando tengan oportunidad, Estoy muy decepcionado con la calidad de el sistema, no cumple lo prometido.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Me cobraron $374 de mas en la factura de este mes y no entiendo por que.",facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,baja
"Cuando tengan oportunidad, Como contacto al equipo de ventas para una demo.",información general,media
"Sin ninguna prisa, Existe alguna app movil disponible para el servicio web.",información general,baja
Urgente: Recibo el error 500 al intentar guardar los cambios en la app movil.,soporte técnico,alta
"Necesito una solucion ya, esto no puede esperar. Quisiera cambiar mi ciclo de facturacion, me gustaria pagar cada semana.",facturación,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Cancele mi cuenta hace 14 dias y todavia me siguen cobrando.",queja,alta
Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,media
Cuanto tiempo tarda en procesarse una solicitud de baja.,información general,media
Agradeceria una respuesta en los proximos dias. Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.,queja,media
En algun momento les agradeceria revisar esto: El cupon de descuento que aplique no se ve reflejado en el total a pagar.,facturación,baja
"Por favor prioricen mi caso, es sumamente urgente. Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,alta
"Sin ninguna prisa, Existe alguna app movil disponible para la app movil.",información general,baja
"Sin ninguna prisa, No reconozco un cargo de $465 en mi tarjeta relacionado con la plataforma.",facturación,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Mi factura del pedido 1646 no coincide con el plan que contrate.",facturación,media
"Sin ninguna prisa, Cancele mi cuenta hace 2 dias y todavia me siguen cobrando.",queja,baja
"Por favor prioricen mi caso, es sumamente urgente. Los reportes de la app movil tardan mas de 10 minutos en generarse.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Es la peor experiencia que he tenido con un servicio en linea.",queja,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Estoy muy decepcionado con la calidad de la plataforma, no cumple lo prometido.",queja,alta
Cuales son los horarios de atencion al cliente.,información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. No reconozco un cargo de $15 en mi tarjeta relacionado con el servicio web.",facturación,media
Me gustaria que lo revisaran esta semana si es posible. El sistema muestra datos desactualizados desde hace 3 dias.,soporte técnico,media
"Necesito una solucion ya, esto no puede esperar. No puedo creer que despues de tantos correos nadie me haya dado una solucion.",queja,alta
"Cuando puedan, sin urgencia: Como puedo actualizar mis datos de facturacion.",información general,baja
"Sin ninguna prisa, Como puedo cambiar el correo asociado a mi cuenta.",información general,baja
Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.,información general,media
"Me gustaria que lo revisaran esta semana si es posible. No puedo cambiar mi contrasena, el formulario no guarda los cambios.",soporte técnico,media
"Cuando puedan, sin urgencia: Cuales son los horarios de atencion al cliente.",información general,baja
"Es critico, necesito una respuesta hoy mismo. No puedo adjuntar archivos mayores a 5 MB en la app movil.",soporte técnico,alta
Ofrecen algun periodo de prueba gratuito antes de contratar mi suscripcion.,información general,media
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito la factura fiscal con los datos de mi empresa para el pedido 1530.",facturación,media
"Necesito una solucion ya, esto no puede esperar. No reconozco un cargo de $111 en mi tarjeta relacionado con mi suscripcion.",facturación,alta
"Por favor prioricen mi caso, es sumamente urgente. El sistema muestra datos desactualizados desde hace 3 dias.",soporte técnico,alta
Necesito informacion sobre las tarifas para mas de 10 usuarios.,información general,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. La integracion con la API deja de responder despues de unos minutos.",soporte técnico,alta
"Cuando tengan oportunidad, Cuales son los horarios de atencion al cliente.",información general,media
Agradeceria una respuesta en los proximos dias. No puedo adjuntar archivos mayores a 5 MB en el panel de control.,soporte técnico,media
"Necesito una solucion ya, esto no puede esperar. Me gustaria saber si puedo pagar mi cuenta en varias mensualidades.",facturación,alta
Me cobraron $395 de mas en la factura de este mes y no entiendo por que.,facturación,media
Esto es una emergencia para mi negocio. Pedi hablar con un supervisor y me colgaron la llamada.,queja,alta
Urgente: Perdi acceso a mi cuenta despues de la ultima actualizacion.,soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,alta
"Es critico, necesito una respuesta hoy mismo. Me prometieron una solucion en 24 horas y ya pasaron 9 dias sin novedades.",queja,alta
"Me siento estafado, pague por un servicio premium que nunca funciono bien.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Solicito la cancelacion de mi suscripcion y el reembolso proporcional.",facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: En que idiomas esta disponible la interfaz de el plan premium.",información general,baja
"Es critico, necesito una respuesta hoy mismo. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.",queja,alta
Es la peor experiencia que he tenido con un servicio en linea.,queja,media
Me gustaria que lo revisaran esta semana si es posible. Quiero saber por que aparecen dos cargos identicos de $387 este mes.,facturación,media
Urgente: Esta es la tercera vez que reporto el mismo problema con el plan premium y nadie lo resuelve.,queja,alta
"Sin ninguna prisa, Cuantos usuarios puedo agregar en el plan basico de el panel de control.",información general,baja
"Sin ninguna prisa, La integracion con la API deja de responder despues de unos minutos.",soporte técnico,baja
"Solo quiero comentar lo siguiente, no es urgente. Que diferencia hay entre el soporte estandar y el soporte prioritario.",información general,baja
Me gustaria que lo revisaran esta semana si es posible. No reconozco un cargo de $239 en mi tarjeta relacionado con el plan premium.,facturación,media
"Me gustaria que lo revisaran esta semana si es posible. Estoy muy decepcionado con la calidad de el servicio web, no cumple lo prometido.",queja,media
"Por favor prioricen mi caso, es sumamente urgente. Estoy muy decepcionado con la calidad de el panel de control, no cumple lo prometido.",queja,alta
"No hay prisa alguna, solo queria dejarlo comentado: Nadie en el equipo de soporte parece saber como resolver mi caso.",queja,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. No recibo las notificaciones push en mi celular desde la actualizacion.",soporte técnico,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El sistema muestra datos desactualizados desde hace 4 dias.",soporte técnico,alta
La aplicacion no carga las imagenes y se queda en blanco.,soporte técnico,media
"Solo quiero comentar lo siguiente, no es urgente. El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. No me llega el recibo de pago del pedido 9727 a mi correo.",facturación,alta
"Me gustaria que lo revisaran esta semana si es posible. Me siento estafado, pague por un servicio premium que nunca funciono bien.",queja,media
Me gustaria que lo revisaran esta semana si es posible. El buscador interno de el sistema no encuentra resultados que si existen.,soporte técnico,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Mi factura del pedido 4893 no coincide con el plan que contrate.",facturación,alta
Agradeceria una respuesta en los proximos dias. Donde puedo consultar los terminos y condiciones del servicio.,información general,media
Donde puedo consultar los terminos y condiciones del servicio.,información general,baja
"No hay prisa alguna, solo queria dejarlo comentado: Me siguen cobrando la plataforma aunque cancele el servicio hace tiempo.",facturación,baja
Esto es una emergencia para mi negocio. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.,queja,alta
Los reportes de el sistema tardan mas de 10 minutos en generarse.,soporte técnico,media
Agradeceria una respuesta en los proximos dias. Por que el precio de el servicio web subio sin previo aviso.,facturación,media
"Sin ninguna prisa, Como contacto al equipo de ventas para una demo.",información general,baja
"Es critico, necesito una respuesta hoy mismo. Me siguen cobrando mi cuenta aunque cancele el servicio hace tiempo.",facturación,alta
"Cuando tengan oportunidad, El sistema muestra datos desactualizados desde hace 10 dias.",soporte técnico,media
Quiero cambiar el plan de facturacion de mensual a anual.,facturación,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Estoy muy decepcionado con la calidad de el servicio web, no cumple lo prometido.",queja,alta
Como puedo invitar a un compañero de trabajo a mi cuenta de el panel de control.,información general,baja
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Se me renovo la suscripcion automaticamente y no queria renovarla.",facturación,alta
Ya escribi tres veces por este mismo tema y siempre me responden lo mismo sin ayudar.,queja,media
"Cuando tengan oportunidad, Pedi hablar con un supervisor y me colgaron la llamada.",queja,media
Me gustaria que lo revisaran esta semana si es posible. Los reportes de mi cuenta tardan mas de 10 minutos en generarse.,soporte técnico,media
"Cuando tengan oportunidad, Me gustaria saber si puedo pagar mi cuenta en varias mensualidades.",facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: Se me renovo la suscripcion automaticamente y no queria renovarla.",facturación,baja
Agradeceria una respuesta en los proximos dias. El cupon de descuento que aplique no se ve reflejado en el total a pagar.,facturación,media
"Por favor prioricen mi caso, es sumamente urgente. Mi cuenta se cerro sola en medio de una sesion de trabajo, varias veces.",soporte técnico,alta
Esto es una emergencia para mi negocio. Quiero presentar una queja formal por el trato recibido en la sucursal.,queja,alta
La integracion con la API deja de responder despues de unos minutos.,soporte técnico,baja
"Sin ninguna prisa, Solicito la cancelacion de mi suscripcion y el reembolso proporcional.",facturación,baja
"Agradeceria una respuesta en los proximos dias. Estoy muy decepcionado con la calidad de mi suscripcion, no cumple lo prometido.",queja,media
"No hay prisa alguna, solo queria dejarlo comentado: el sistema muestra un error de certificado de seguridad al conectarse.",soporte técnico,baja
"Es critico, necesito una respuesta hoy mismo. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,alta
"Me gustaria que lo revisaran esta semana si es posible. Estoy muy decepcionado con la calidad de el panel de control, no cumple lo prometido.",queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. Me siento estafado, pague por un servicio premium que nunca funciono bien.",queja,media
"Cuando tengan oportunidad, mi cuenta muestra un error de certificado de seguridad al conectarse.",soporte técnico,media
El soporte tecnico cerro mi ticket sin resolver el problema.,queja,media
"Sin ninguna prisa, Como puedo cambiar el correo asociado a mi cuenta.",información general,baja
"Cuando puedan, sin urgencia: El representante me dejo en espera mas de una hora y luego colgo la llamada.",queja,baja
En algun momento les agradeceria revisar esto: Que diferencia hay entre el soporte estandar y el soporte prioritario.,información general,baja
"Por favor prioricen mi caso, es sumamente urgente. El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,alta
"Por favor prioricen mi caso, es sumamente urgente. No puedo cambiar mi contrasena, el formulario no guarda los cambios.",soporte técnico,alta
Me gustaria que lo revisaran esta semana si es posible. Quiero saber por que aparecen dos cargos identicos de $221 este mes.,facturación,media
Me gustaria que lo revisaran esta semana si es posible. No puedo adjuntar archivos mayores a 5 MB en el servicio web.,soporte técnico,media
"No hay prisa alguna, solo queria dejarlo comentado: Recibo el error 500 al intentar guardar los cambios en mi cuenta.",soporte técnico,baja
"Solo quiero comentar lo siguiente, no es urgente. Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.",información general,baja
Urgente: Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.,queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. No puedo iniciar sesion en el servicio web desde ayer, me marca error de servidor.",soporte técnico,media
"Esto es una emergencia para mi negocio. Mi cuenta se cerro sola en medio de una sesion de trabajo, varias veces.",soporte técnico,alta
"Por favor atiendan esto lo antes posible, no puedo esperar mas. No logro restablecer mi contrasena, el enlace del correo esta roto.",soporte técnico,alta
"Necesito ayuda inmediata, esto esta afectando mi trabajo. El boton de exportar datos no responde en ningun navegador.",soporte técnico,alta
Me gustaria que lo revisaran esta semana si es posible. Cuantos usuarios puedo agregar en el plan basico de el servicio web.,información general,media
"Es critico, necesito una respuesta hoy mismo. El servicio al cliente me trato de forma grosera en el chat de soporte.",queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. En que idiomas esta disponible la interfaz de el plan premium.",información general,media
"Por favor prioricen mi caso, es sumamente urgente. Necesito la factura fiscal con los datos de mi empresa para el pedido 4273.",facturación,alta
"Esto es una emergencia para mi negocio. Estoy muy decepcionado con la calidad de la plataforma, no cumple lo prometido.",queja,alta
Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.,queja,media
"Por favor prioricen mi caso, es sumamente urgente. Estoy muy decepcionado con la calidad de el plan premium, no cumple lo prometido.",queja,alta
Agradeceria una respuesta en los proximos dias. Perdi acceso a mi cuenta despues de la ultima actualizacion.,soporte técnico,media
"Cuando puedan, sin urgencia: Cuantos usuarios puedo agregar en el plan basico de el panel de control.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,media
"Es critico, necesito una respuesta hoy mismo. Pedi hablar con un supervisor y me colgaron la llamada.",queja,alta
"No hay prisa alguna, solo queria dejarlo comentado: Quisiera saber si la app movil es compatible con Mac y con Windows.",información general,baja
"Agradeceria una respuesta en los proximos dias. No puedo iniciar sesion en el sistema desde ayer, me marca error de servidor.",soporte técnico,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. Me siguen cobrando la plataforma aunque cancele el servicio hace tiempo.",facturación,alta
Urgente: El nivel de servicio ha bajado muchisimo comparado con hace un año.,queja,alta
"No es una emergencia, pero me gustaria resolverlo pronto. Necesito una copia de la factura del mes pasado para mi contabilidad.",facturación,media
Quiero cambiar el plan de facturacion de mensual a anual.,facturación,media
Agradeceria una respuesta en los proximos dias. Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.,información general,media
"No es una emergencia, pero me gustaria resolverlo pronto. Esta es la tercera vez que reporto el mismo problema con la plataforma y nadie lo resuelve.",queja,media
Agradeceria una respuesta en los proximos dias. Los reportes de mi suscripcion tardan mas de 10 minutos en generarse.,soporte técnico,media
"No hay prisa alguna, solo queria dejarlo comentado: El cupon de descuento que aplique no se ve reflejado en el total a pagar.",facturación,baja
"Cuando puedan, sin urgencia: Como puedo invitar a un compañero de trabajo a mi cuenta de el sistema.",información general,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Me aparece un mensaje de error que dice 'token invalido' al entrar.",soporte técnico,media
"Es critico, necesito una respuesta hoy mismo. El descuento que me ofrecieron no se aplico en la factura 8673.",facturación,alta
"Cuando tengan oportunidad, No reconozco un cargo de $68 en mi tarjeta relacionado con mi cuenta.",facturación,media
"Cuando puedan, sin urgencia: Cuales son los horarios de atencion al cliente.",información general,baja
"Por favor prioricen mi caso, es sumamente urgente. Voy a reportar esta empresa porque no respetan lo que ofrecen en su publicidad.",queja,alta
Esto es una emergencia para mi negocio. El nivel de servicio ha bajado muchisimo comparado con hace un año.,queja,alta
En algun momento les agradeceria revisar esto: Esta es la tercera vez que reporto el mismo problema con el servicio web y nadie lo resuelve.,queja,baja
"Me gustaria que lo revisaran esta semana si es posible. Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,media
Agradeceria una respuesta en los proximos dias. Me podrian compartir el enlace a la documentacion tecnica de la API.,información general,media
Me gustaria que lo revisaran esta semana si es posible. Quiero presentar una queja formal por el trato recibido en la sucursal.,queja,media
"Cuando tengan oportunidad, el panel de control consume demasiada memoria y se congela el navegador.",soporte técnico,media
"No hay prisa alguna, solo queria dejarlo comentado: No recibo las notificaciones push en mi celular desde la actualizacion.",soporte técnico,baja
Nadie en el equipo de soporte parece saber como resolver mi caso.,queja,media
"No es una emergencia, pero me gustaria resolverlo pronto. El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: Me gustaria saber si puedo pagar el sistema en varias mensualidades.",facturación,baja
"No es una emergencia, pero me gustaria resolverlo pronto. Quiero cambiar el plan de facturacion de mensual a anual.",facturación,media
Quiero saber por que aparecen dos cargos identicos de $117 este mes.,facturación,media
"No hay prisa alguna, solo queria dejarlo comentado: Necesito informacion sobre las tarifas para mas de 10 usuarios.",información general,baja
"Urgente: Necesito la factura a nombre de mi empresa, no a mi nombre personal.",facturación,alta
Esto es una emergencia para mi negocio. Estoy a punto de cancelar mi cuenta por lo mal que me han atendido.,queja,alta
"Cuando puedan, sin urgencia: El metodo de pago fue rechazado pero igual me generaron el cobro.",facturación,baja
"Necesito ayuda inmediata, esto esta afectando mi trabajo. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.",queja,alta
"Necesito una solucion ya, esto no puede esperar. Por que el precio de la app movil subio sin previo aviso.",facturación,alta
"Necesito una solucion ya, esto no puede esperar. Donde puedo ver el historial completo de mis pedidos anteriores.",información general,alta
Urgente: Me aparece un mensaje de error que dice 'token invalido' al entrar.,soporte técnico,alta
Ofrecen algun periodo de prueba gratuito antes de contratar el panel de control.,información general,media
"Cuando tengan oportunidad, el plan premium se cierra solo cada vez que intento subir un archivo.",soporte técnico,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. No puedo adjuntar archivos mayores a 5 MB en mi cuenta.",soporte técnico,alta
En algun momento les agradeceria revisar esto: Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.,información general,baja
Agradeceria una respuesta en los proximos dias. Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.,queja,media
"Por favor atiendan esto lo antes posible, no puedo esperar mas. El boton de exportar datos no responde en ningun navegador.",soporte técnico,alta
Como puedo cambiar el correo asociado a mi cuenta.,información general,media
Necesito una copia de la factura del mes pasado para mi contabilidad.,facturación,media
"Cuando tengan oportunidad, Se me renovo la suscripcion automaticamente y no queria renovarla.",facturación,media
Agradeceria una respuesta en los proximos dias. Tienen algun plan especial para estudiantes o para organizaciones sin fines de lucro.,información general,media
"Sin ninguna prisa, Cada vez que llamo me transfieren con alguien distinto y repito todo de nuevo.",queja,baja
El descuento que me ofrecieron no se aplico en la factura 7438.,facturación,baja
